,,25,alpha-pinene,beta-pinene,humulene,β-caryophyllene,caryophyllene oxide,β-myrcene,nerolidol,linalool,terpinolene,"""phytol terpene""",fenchol,borneol,terpineol,α-bisabolol,ocimene,limonene,"1, 8, Cineole",bornyl acetate,p-cymene,perillyl alcohol,Sabinene,alpha-terpinene,gamma-terpinene,R-carvone,S-carvone
brain ischemia,5,70439,3,0,0,24,0,3,3,6,0,66,0,63,0,1,0,1,2,0,0,2,0,0,1,0,0
bronchodialator,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cardiovascular health,5,25055,1,0,0,16,0,2,0,1,2,41,0,8,0,1,1,28,1,0,0,3,0,0,1,0,0
decongestant,5,1042,0,1,0,0,0,2,0,3,0,3,0,2,0,2,0,0,1,0,#N/A,0,0,0,0,0,0
gastric protection,10,2911,19,10,0,17,0,2,3,13,2,21,0,0,8,4,1,1,21,0,0,0,0,0,0,0,0
hyper-pigmentation,0,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
immuno-stimulatory,0,263,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
interleukin-B secretion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
longevity,8,76083,5,3,4,5,2,2,3,14,1,28,0,2,2,1,2,10,3,0,3,3,0,1,5,2,0
lowers blood-brain barrier,0,414,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
memory retention,1,2506,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
natural humectant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
neuro-inflammation,1,1816,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
neurological health,1,756,0,1,0,0,0,0,0,2,0,0,0,0,1,1,0,11,6,0,1,0,2,1,1,0,0
neuroprotective,5,102841,37,15,12,74,12,1,19,56,3,45,1,95,14,15,3,55,26,4,22,5,10,2,11,0,1
oral health,4,85831,19,0,2,1,3,1,1,1,0,775,0,0,1,0,3,6,4,0,2,1,1,0,1,0,0
pharmacokinetic,7,141739,104,14,8,29,13,19,4,102,6,120,3,238,97,3,3,367,16,2,17,20,15,5,27,17,6
prohibits neurotransmitter degeneration,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
promotes apoptosis in cancer cells,6,1877,6,1,3,0,0,0,0,3,0,0,0,4,0,3,0,7,0,1,11,0,0,0,0,0,0
relax,5,9260,1,0,0,22,0,0,0,36,0,36,0,2,0,0,2,41,0,2,9,5,0,0,0,0,0
respiratory function,6,65264,7,14,2,1,0,0,0,24,0,269,0,6,1,0,0,61,0,2,0,0,0,5,5,0,1
"sedative, sleep",4,1281,6,0,0,0,0,0,0,0,1,5,0,3,0,0,2,0,9,0,0,0,1,0,1,0,0
skin health,8,15604,2,7,4,1,0,3,4,41,0,2,0,13,17,0,2,2,1,2,5,4,1,0,0,0,0
anti-cancer,10,56600,27,12,5,34,7,6,10,16,4,31,1,9,13,9,6,38,19,4,23,12,5,1,9,0,0
neuroprotective,5,102841,37,15,12,74,12,1,19,56,3,45,1,95,14,15,3,55,26,4,22,5,10,2,11,0,1
MRSA,8,35522,21,16,7,13,11,0,11,26,2,14,0,13,9,3,5,27,21,4,21,1,7,10,10,2,0
Osteoporosis,2,13505,3,2,1,4,0,0,0,1,0,530,0,3,0,0,0,5,2,0,0,0,2,0,0,0,0
Pruritis,4,733,0,0,0,0,0,0,0,0,0,22,0,0,2,5,0,5,0,0,1,0,2,0,0,0,0
diabetes,10,1028386,51,29,16,95,17,7,14,36,5,347,0,31,25,7,12,81,65,6,27,0,7,1,11,2,0
Hepatitis C,1,10107,1,0,0,1,0,0,0,0,0,15,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0
Dystonia,0,22264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fibromyalgia,2,16790,1,1,1,4,0,0,0,3,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
Parkinson's disease,0,137295,6,0,1,11,1,0,1,9,1,21,0,5,1,2,1,8,3,0,1,3,0,1,1,0,0
Alzheimers,4,233084,33,22,9,24,11,2,7,33,3,59,2,21,8,9,3,42,35,5,16,3,9,1,7,0,0
Epilepsy,6,14441,9,6,0,9,4,0,6,15,0,49,0,12,1,2,0,12,8,0,1,0,3,0,2,0,0
PTSD,1,44518,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
migraine,3,53374,2,2,1,6,0,1,0,4,0,4,0,1,0,0,0,5,2,0,0,0,1,0,0,0,0
Huntington's disease,1,18131,2,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
multiple sclerosis,1,119319,#N/A,0,1,12,1,0,0,0,0,25,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
ALS,1,#N/A,3,0,0,0,0,0,0,0,0,37,0,2,0,0,0,4,1,0,1,0,1,1,1,0,0
Tourettes Syndrom,0,1,0,0,0,0,0,0,0,0,0,0,0,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0
HIV,6,458798,5,1,2,6,2,0,2,5,1,12,0,2,3,0,2,3,0,0,2,1,1,0,0,1,0
Hypertension,6,688818,9,11,5,11,4,4,5,11,1,288,1,11,4,1,4,24,12,1,5,7,4,5,4,0,0
Sleep apnea,0,64932,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GI disorders,0,1460,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Incontinence,0,74715,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dystonia,0,22264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arthritis,5,32525,10,4,4,12,6,2,7,9,1,94,1,17,12,3,3,16,10,6,1,2,2,3,2,0,0
Osteoporosis,2,13505,3,2,1,4,0,0,0,1,0,530,0,3,0,0,0,5,2,0,0,0,2,0,0,0,0
Fibromyalgia,2,16790,1,1,1,4,0,0,0,3,0,2,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
chronic pain,9,77106,6,4,5,39,3,3,4,16,1,3,0,9,4,5,2,16,1,0,1,0,0,0,2,2,1
restless leg syndrome,0,614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
